Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
175,Bernard Reedy\ReedBe01,2TM,WR,26,11,0,2,2,21,10.5,1,0,0,,,4,5.8,5.8,4.8,,174,
176,Noah Brown\BrowNo00,DAL,WR,21,13,1,9,4,33,8.25,0,0,0,,,3,7.3,7.3,5.3,,176,
177,Marcus Johnson\JohnMa07,PHI,WR,23,10,0,8,5,45,9,1,1,0,,,3,7.5,8.5,5,,181,
178,Jordan Leslie\LeslJo00,CLE,WR,26,2,0,1,1,26,26,0,0,0,,,3,3.6,3.6,3.1,,179,
179,Chris Matthews\MattCh00,BAL,WR,28,6,0,6,3,25,8.33,0,0,0,,,3,5.5,5.5,4,,180,
180,Jojo Natson\NatsJo00,NYJ,WR,23,7,0,5,2,18,9,1,0,0,,,3,5.3,5.3,4.3,,177,
181,Nick Williams\WillNi02,ATL,WR,27,1,0,4,3,30,10,0,0,0,,,3,6,6,4.5,,178,
182,Jehu Chesson\ChesJe00,KAN,WR,24,12,1,4,2,18,9,0,0,0,,,2,3.8,3.8,2.8,,184,
183,Allen Robinson\RobiAl02,JAX,WR,24,1,1,1,1,17,17,0,0,0,,,2,2.7,2.7,2.2,,185,
184,Griff Whalen\WhalGr00,BAL,WR,27,2,0,6,4,23,5.75,0,0,0,,,2,6.3,6.3,4.3,,183,
185,DeAndrew White\WhitDe01,HOU,WR,26,2,1,7,1,24,24,1,0,0,,,2,3.4,3.4,2.9,,182,
186,Arrelious Benn\BennAr00,JAX,WR,29,9,0,2,1,12,12,0,0,0,,,1,2.2,2.2,1.7,,188,
187,Harry Douglas\DougHa00,TEN,WR,33,2,0,3,1,8,8,0,0,0,,,1,1.8,1.8,1.3,,190,
188,Shelton Gibson\GibsSh00,PHI,WR,22,5,0,3,2,11,5.5,0,0,0,,,1,3.1,3.1,2.1,,189,
189,Cobi Hamilton\HamiCo00,HOU,WR,27,3,1,6,1,8,8,0,0,0,,,1,1.8,1.8,1.3,,191,
190,Jeff Janis\JaniJe00,GNB,WR,26,16,0,5,2,12,6,0,0,0,,,1,3.2,3.2,2.2,,187,
191,Larry Pinkard\PinkLa00,JAX,WR,25,4,0,1,1,5,5,0,0,0,,,1,1.5,1.5,1,,193,
192,Darius Powe\PoweDa02,NYG,WR,23,1,1,4,2,13,6.5,0,0,0,,,1,3.3,3.3,2.3,,186,
193,Eric Weems\WeemEr00,TEN,WR,32,16,0,2,1,5,5,0,0,0,,,1,1.5,1.5,1,,194,
194,Kevin White\WhitKe00,CHI,WR,25,1,1,4,2,6,3,0,0,0,,,1,2.6,2.6,1.6,,192,
195,Matt Hazel\HazeMa01,IND,WR,25,4,0,1,1,1,1,0,0,0,,,,1.1,1.1,0.6,,197,
196,Max McCaffrey\McCaMa01,JAX,WR,23,5,0,1,1,4,4,0,0,0,,,,1.4,1.4,0.9,,195,
197,Charone Peake\PeakCh00,NYJ,WR,25,3,0,1,1,3,3,0,0,0,,,,1.3,1.3,0.8,,196,
198,Isaiah McKenzie\McKeIs00,DEN,WR,22,11,0,13,4,29,7.25,6,2,0,,,-1,3.3,5.3,1.3,,206,
199,Kalif Raymond\RaymKa00,2TM,WR,23,8,0,1,1,12,12,5,1,0,,,-1,0.1,1.1,-0.4,,209,
200,Andre Roberts\RobeAn00,ATL,WR,29,16,0,4,1,12,12,4,1,0,,,-1,0.2,1.2,-0.3,,207,
201,John Ross\RossJo00,CIN,WR,23,3,1,2,0,0,,1,1,0,,,-1,-0.8,0.2,-0.8,,208,
